"PORT","TONNAGETYPE","YEAR","TONNE"
"RAJANG","IMPORT","2012",1614
"RAJANG","TRANS-SHIPMENT","2012",0
"SABAH","EXPORT","2012",13852
"SABAH","IMPORT","2012",13851
"SABAH","TRANS-SHIPMENT","2012",0
"PORT DICKSON","EXPORT","2012",2613
"PORT DICKSON","IMPORT","2012",11755
"PORT DICKSON","TRANS-SHIPMENT","2012",0
"KEMAMAN","EXPORT","2012",3432
"KEMAMAN","IMPORT","2012",3249
"KEMAMAN","TRANS-SHIPMENT","2012",0
"TELUK EWA","EXPORT","2012",3237
"TELUK EWA","IMPORT","2012",696
"TELUK EWA","TRANS-SHIPMENT","2012",0
"TANJUNG PELEPAS","EXPORT","2012",5187
"TANJUNG PELEPAS","IMPORT","2012",1412
"TANJUNG PELEPAS","TRANS-SHIPMENT","2012",109658
"KELANG","EXPORT","2013",90423
"KELANG","IMPORT","2013",109855
"KELANG","TRANS-SHIPMENT","2013",0
"PULAU PINANG","EXPORT","2013",12934
"PULAU PINANG","IMPORT","2013",16497
"PULAU PINANG","TRANS-SHIPMENT","2013",650
"JOHOR","EXPORT","2013",10402
"JOHOR","IMPORT","2013",16577
"JOHOR","TRANS-SHIPMENT","2013",0
"KUANTAN","EXPORT","2013",15099
"KUANTAN","IMPORT","2013",4233
"KUANTAN","TRANS-SHIPMENT","2013",0
"BINTULU","EXPORT","2013",37652
"BINTULU","IMPORT","2013",4824
"BINTULU","TRANS-SHIPMENT","2013",1329
"TANJUNG BRUAS","EXPORT","2013",177
"TANJUNG BRUAS","IMPORT","2013",301
"TANJUNG BRUAS","TRANS-SHIPMENT","2013",0
"KUCHING","EXPORT","2013",2183
"KUCHING","IMPORT","2013",7395
"KUCHING","TRANS-SHIPMENT","2013",0
"MIRI","EXPORT","2013",5563
"MIRI","IMPORT","2013",866
"MIRI","TRANS-SHIPMENT","2013",0
"RAJANG","EXPORT","2013",613
"RAJANG","IMPORT","2013",1513
"RAJANG","TRANS-SHIPMENT","2013",0
"SABAH","EXPORT","2013",13931
"SABAH","IMPORT","2013",13487
"SABAH","TRANS-SHIPMENT","2013",0
"PORT DICKSON","EXPORT","2013",2928
"PORT DICKSON","IMPORT","2013",10179
